verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_constr,cmpl_det,dir_he,preposition_1,preposition_2,preposition_3,preposition_4
397934,<BR[,MT,1_Chronicles,12,16,<BRW,>LH HM >CR <BRW >T H JRDN B XDC H R>CWN W HW> MML> <L KL GDJTJW W JBRJXW >T KL H <MQJM L MZRX W L M<RB,>CR <BRW >T H JRDN B XDC H R>CWN,,no complement,,,,,,,
397963,BW>[,MT,1_Chronicles,12,17,JB>W,W JB>W MN BNJ BNJMN W JHWDH <D L MYD L DWJD,W JB>W MN BNJ BNJMN W JHWDH <D L MYD L DWJD,MN BNJ BNJMN W JHWDH,<D L MYD,prep + prep,det,0,<D,L,,
397963,BW>[,MT,1_Chronicles,12,17,JB>W,W JB>W MN BNJ BNJMN W JHWDH <D L MYD L DWJD,W JB>W MN BNJ BNJMN W JHWDH <D L MYD L DWJD,MN BNJ BNJMN W JHWDH,L DWJD,prep,det,0,L,,,
397976,JY>[,MT,1_Chronicles,12,18,JY>,W JY> DWJD L PNJHM W J<N W J>MR LHM >M L CLWM B>TM >LJ L <ZRNJ JHJH LJ <LJKM LBB L JXD W >M L RMWTNJ L YRJ B L> XMS B KPJ JR> >LHJ >BWTJNW W JWKX,W JY> DWJD L PNJHM,DWJD,L PNJHM,prep,det,0,L,,,
397988,BW>[,MT,1_Chronicles,12,18,B>TM,W JY> DWJD L PNJHM W J<N W J>MR LHM >M L CLWM B>TM >LJ L <ZRNJ JHJH LJ <LJKM LBB L JXD W >M L RMWTNJ L YRJ B L> XMS B KPJ JR> >LHJ >BWTJNW W JWKX,>M L CLWM B>TM >LJ,,>LJ,prep,det,0,>LJ,,,
398050,NPL[,MT,1_Chronicles,12,20,NPLW,W M MNCH NPLW <L DWJD B B>W <M PLCTJM <L C>WL L MLXMH W L> <ZRM KJ B <YH CLXHW SRNJ PLCTJM L >MR B R>CJNW JPWL >L >DNJW C>WL,W M MNCH NPLW <L DWJD,M MNCH,<L DWJD,prep,det,0,<L,,,
398054,BW>[,MT,1_Chronicles,12,20,B>W,W M MNCH NPLW <L DWJD B B>W <M PLCTJM <L C>WL L MLXMH W L> <ZRM KJ B <YH CLXHW SRNJ PLCTJM L >MR B R>CJNW JPWL >L >DNJW C>WL,B B>W <M PLCTJM <L C>WL L MLXMH,,<L C>WL,prep,det,0,<L,,,
398054,BW>[,MT,1_Chronicles,12,20,B>W,W M MNCH NPLW <L DWJD B B>W <M PLCTJM <L C>WL L MLXMH W L> <ZRM KJ B <YH CLXHW SRNJ PLCTJM L >MR B R>CJNW JPWL >L >DNJW C>WL,B B>W <M PLCTJM <L C>WL L MLXMH,,L MLXMH,prep,det,0,L,,,
398075,NPL[,MT,1_Chronicles,12,20,JPWL,W M MNCH NPLW <L DWJD B B>W <M PLCTJM <L C>WL L MLXMH W L> <ZRM KJ B <YH CLXHW SRNJ PLCTJM L >MR B R>CJNW JPWL >L >DNJW C>WL,B R>CJNW JPWL >L >DNJW C>WL,,>L >DNJW C>WL,prep,det,0,>L,,,
398080,HLK[,MT,1_Chronicles,12,21,LKTW,B LKTW >L YJQLG NPLW <LJW M MNCH <DNX W JWZBD W JDJ<>L W MJK>L W JWZBD W >LJHW> W YLTJ R>CJ H >LPJM >CR L MNCH,B LKTW >L YJQLG,,>L YJQLG,prep,det,0,>L,,,
398083,NPL[,MT,1_Chronicles,12,21,NPLW,B LKTW >L YJQLG NPLW <LJW M MNCH <DNX W JWZBD W JDJ<>L W MJK>L W JWZBD W >LJHW> W YLTJ R>CJ H >LPJM >CR L MNCH,NPLW <LJW M MNCH <DNX W JWZBD W JDJ<>L W MJK>L W JWZBD W >LJHW> W YLTJ R>CJ H >LPJM,M MNCH <DNX W JWZBD W JDJ<>L W MJK>L W JWZBD W >LJHW> W YLTJ R>CJ H >LPJM,<LJW,prep,det,0,<LJW,,,
398130,BW>[,MT,1_Chronicles,12,23,JB>W,KJ L <T JWM B JWM JB>W <L DWJD L <ZRW <D L MXNH GDWL K MXNH >LHJM,KJ L <T JWM B JWM JB>W <L DWJD <D L MXNH GDWL K MXNH >LHJM,,<L DWJD,prep,det,0,<L,,,
398151,BW>[,MT,1_Chronicles,12,24,B>W,W >LH MSPRJ R>CJ H XLWY L YB> B>W <L DWJD XBRWNH L HSB MLKWT C>WL >LJW K PJ JHWH,B>W <L DWJD XBRWNH,,<L DWJD,prep,det,0,<L,,,
398151,BW>[,MT,1_Chronicles,12,24,B>W,W >LH MSPRJ R>CJ H XLWY L YB> B>W <L DWJD XBRWNH L HSB MLKWT C>WL >LJW K PJ JHWH,B>W <L DWJD XBRWNH,,XBRWNH,dir_he,det,1,,,,
398267,BW>[,MT,1_Chronicles,12,32,BW>,W M XYJ MVH MNCH CMWNH <FR >LP >CR NQBW B CMWT L BW> L HMLJK >T DWJD,L BW>,,no complement,,,,,,,
398295,JY>[,MT,1_Chronicles,12,34,JWY>J,M ZBLWN JWY>J YB> <RKJ MLXMH B KL KLJ MLXMH XMCJM >LP W L <DR B L> LB W LB,JWY>J YB>,,no complement,,,,,,,
398344,JY>[,MT,1_Chronicles,12,37,JWY>J,W M >CR JWY>J YB> L <RK MLXMH >RB<JM >LP,JWY>J YB>,,no complement,,,,,,,
398385,BW>[,MT,1_Chronicles,12,39,B>W,KL >LH >NCJ MLXMH <DRJ M<RKH B LBB CLM B>W XBRWNH L HMLJK >T DWJD <L KL JFR>L W GM KL CRJT JFR>L LB >XD L HMLJK >T DWJD,B LBB CLM B>W XBRWNH,,XBRWNH,dir_he,det,1,,,,
398430,BW>[,MT,1_Chronicles,12,41,MBJ>JM,W GM H QRWBJM >LJHM <D JFFKR W ZBLWN W NPTLJ MBJ>JM LXM B XMWRJM W B GMLJM W B PRDJM W B BQR M>KL QMX DBLJM W YMWQJM W JJN W CMN W BQR W Y>N L RB KJ FMXH B JFR>L,W GM MBJ>JM LXM B XMWRJM W B GMLJM W B PRDJM W B BQR,,no complement,,,,,,,
398722,BW>[,MT,1_Chronicles,13,12,>BJ>,W JJR> DWJD >T H >LHJM B JWM H HW> L >MR HJK >BJ> >LJ >T >RWN H >LHJM,HJK >BJ> >LJ >T >RWN H >LHJM,,>LJ,prep,det,0,>LJ,,,
398730,SWR[,MT,1_Chronicles,13,13,HSJR,W L> HSJR DWJD >T H >RWN >LJW >L <JR DWJD W JVHW >L BJT <BD_>DM H GTJ,W L> HSJR DWJD >T H >RWN >LJW >L <JR DWJD,DWJD,>LJW,prep,det,0,>LJW,,,
398730,SWR[,MT,1_Chronicles,13,13,HSJR,W L> HSJR DWJD >T H >RWN >LJW >L <JR DWJD W JVHW >L BJT <BD_>DM H GTJ,W L> HSJR DWJD >T H >RWN >LJW >L <JR DWJD,DWJD,>L <JR DWJD,prep,det,0,>L,,,
398546,QHL[,MT,1_Chronicles,13,5,JQHL,W JQHL DWJD >T KL JFR>L MN CJXWR MYRJM W <D L BW> XMT L HBJ> >T >RWN H >LHJM M QRJT_J<RJM,W JQHL DWJD >T KL JFR>L MN CJXWR MYRJM,DWJD,MN CJXWR MYRJM,prep,det,0,MN,,,
398557,BW>[,MT,1_Chronicles,13,5,BW>,W JQHL DWJD >T KL JFR>L MN CJXWR MYRJM W <D L BW> XMT L HBJ> >T >RWN H >LHJM M QRJT_J<RJM,W <D L BW> XMT,,XMT,vc,det,0,,,,
398560,BW>[,MT,1_Chronicles,13,5,HBJ>,W JQHL DWJD >T KL JFR>L MN CJXWR MYRJM W <D L BW> XMT L HBJ> >T >RWN H >LHJM M QRJT_J<RJM,L HBJ> >T >RWN H >LHJM M QRJT_J<RJM,,M QRJT_J<RJM,prep,det,0,M,,,
398568,<LH[,MT,1_Chronicles,13,6,J<L,W J<L DWJD W KL JFR>L B<LTH >L QRJT_J<RJM >CR L JHWDH L H<LWT M CM >T >RWN H >LHJM JHWH JWCB H KRWBJM >CR NQR> CM,W J<L DWJD W KL JFR>L B<LTH >L QRJT_J<RJM,DWJD W KL JFR>L,B<LTH >L QRJT_J<RJM,prep + dir_he,det,1,>L,,,
398580,<LH[,MT,1_Chronicles,13,6,H<LWT,W J<L DWJD W KL JFR>L B<LTH >L QRJT_J<RJM >CR L JHWDH L H<LWT M CM >T >RWN H >LHJM JHWH JWCB H KRWBJM >CR NQR> CM,L H<LWT M CM >T >RWN H >LHJM JHWH,,M CM,prep,det,0,M,,,
398646,BW>[,MT,1_Chronicles,13,9,JB>W,W JB>W <D GRN KJDN W JCLX <Z> >T JDW L >XZ >T H >RWN KJ CMVW H BQR,W JB>W <D GRN KJDN,,<D GRN KJDN,prep,det,0,<D,,,
398899,<LH[,MT,1_Chronicles,14,10,><LH,W JC>L DWJD B >LHJM L >MR H ><LH <L PLCTJJM W NTTM B JDJ W J>MR LW JHWH <LH W NTTJM B JDK,H ><LH <L PLCTJJM,,<L PLCTJJM,prep,det,0,<L,,,
398910,<LH[,MT,1_Chronicles,14,10,<LH,W JC>L DWJD B >LHJM L >MR H ><LH <L PLCTJJM W NTTM B JDJ W J>MR LW JHWH <LH W NTTJM B JDK,<LH,,no complement,,,,,,,
398916,<LH[,MT,1_Chronicles,14,11,J<LW,W J<LW B B<L_PRYJM W JKM CM DWJD W J>MR DWJD PRY H >LHJM >T >WJBJ B JDJ K PRY MJM <L KN QR>W CM H MQWM H HW> B<L_PRYJM,W J<LW B B<L_PRYJM,,B B<L_PRYJM,prep,det,0,B,,,
398979,<LH[,MT,1_Chronicles,14,14,T<LH,W JC>L <WD DWJD B >LHJM W J>MR LW H >LHJM L> T<LH >XRJHM HSB M <LJHM W B>T LHM M MWL H BK>JM,L> T<LH >XRJHM,,>XRJHM,vc,det,0,,,,
398985,BW>[,MT,1_Chronicles,14,14,B>T,W JC>L <WD DWJD B >LHJM W J>MR LW H >LHJM L> T<LH >XRJHM HSB M <LJHM W B>T LHM M MWL H BK>JM,W B>T LHM M MWL H BK>JM,,LHM,prep,det,0,LHM,,,
398985,BW>[,MT,1_Chronicles,14,14,B>T,W JC>L <WD DWJD B >LHJM W J>MR LW H >LHJM L> T<LH >XRJHM HSB M <LJHM W B>T LHM M MWL H BK>JM,W B>T LHM M MWL H BK>JM,,M MWL H BK>JM,prep,det,0,M,,,
399004,JY>[,MT,1_Chronicles,14,15,TY>,W JHJ K CM<K >T QWL H Y<DH B R>CJ H BK>JM >Z TY> B MLXMH KJ JY> H >LHJM L PNJK L HKWT >T MXNH PLCTJM,>Z TY> B MLXMH,,B MLXMH,prep,det,0,B,,,
399009,JY>[,MT,1_Chronicles,14,15,JY>,W JHJ K CM<K >T QWL H Y<DH B R>CJ H BK>JM >Z TY> B MLXMH KJ JY> H >LHJM L PNJK L HKWT >T MXNH PLCTJM,KJ JY> H >LHJM L PNJK,H >LHJM,L PNJK,prep,det,0,L,,,
399038,JY>[,MT,1_Chronicles,14,17,JY>,W JY> CM DWJD B KL H >RYWT W JHWH NTN >T PXDW <L KL H GWJM,W JY> CM DWJD B KL H >RYWT,CM DWJD,B KL H >RYWT,prep,det,0,B,,,
398869,<LH[,MT,1_Chronicles,14,8,J<LW,W JCM<W PLCTJM KJ NMCX DWJD L MLK <L KL JFR>L W J<LW KL PLCTJM L BQC >T DWJD W JCM< DWJD W JY> L PNJHM,W J<LW KL PLCTJM,KL PLCTJM,no complement,,,,,,,
398880,JY>[,MT,1_Chronicles,14,8,JY>,W JCM<W PLCTJM KJ NMCX DWJD L MLK <L KL JFR>L W J<LW KL PLCTJM L BQC >T DWJD W JCM< DWJD W JY> L PNJHM,W JY> L PNJHM,,L PNJHM,prep,det,0,L,,,
398885,BW>[,MT,1_Chronicles,14,9,B>W,W PLCTJM B>W W JPCVW B <MQ RP>JM,W PLCTJM B>W,PLCTJM,no complement,,,,,,,
399230,<LH[,MT,1_Chronicles,15,12,H<LJTM,W J>MR LHM >TM R>CJ H >BWT L LWJM HTQDCW >TM W >XJKM W H<LJTM >T >RWN JHWH >LHJ JFR>L >L HKJNWTJ LW,W H<LJTM >T >RWN JHWH >LHJ JFR>L,,no complement,,,,,,,
399265,<LH[,MT,1_Chronicles,15,14,H<LWT,W JTQDCW H KHNJM W H LWJM L H<LWT >T >RWN JHWH >LHJ JFR>L,L H<LWT >T >RWN JHWH >LHJ JFR>L,,no complement,,,,,,,
399491,HLK[,MT,1_Chronicles,15,25,HLKJM,W JHJ DWJD W ZQNJ JFR>L W FRJ H >LPJM H HLKJM L H<LWT >T >RWN BRJT JHWH MN BJT <BD_>DM B FMXH,H HLKJM,,no complement,,,,,,,
399493,<LH[,MT,1_Chronicles,15,25,H<LWT,W JHJ DWJD W ZQNJ JFR>L W FRJ H >LPJM H HLKJM L H<LWT >T >RWN BRJT JHWH MN BJT <BD_>DM B FMXH,L H<LWT >T >RWN BRJT JHWH MN BJT <BD_>DM B FMXH,,MN BJT <BD_>DM,prep,det,0,MN,,,
399557,<LH[,MT,1_Chronicles,15,28,M<LJM,W KL JFR>L M<LJM >T >RWN BRJT JHWH B TRW<H W B QWL CWPR W B XYYRWT W B MYLTJM MCM<JM B NBLJM W KNRWT,W KL JFR>L M<LJM >T >RWN BRJT JHWH B TRW<H W B QWL CWPR W B XYYRWT W B MYLTJM,KL JFR>L,no complement,,,,,,,
399584,BW>[,MT,1_Chronicles,15,29,B>,W JHJ >RWN BRJT JHWH B> <D <JR DWJD W MJKL BT C>WL NCQPH B<D H XLWN W TR> >T H MLK DWJD MRQD W MFXQ W TBZ LW B LBH,>RWN BRJT JHWH B> <D <JR DWJD,>RWN BRJT JHWH,<D <JR DWJD,prep,det,0,<D,,,
399101,QHL[,MT,1_Chronicles,15,3,JQHL,W JQHL DWJD >T KL JFR>L >L JRWCLM L H<LWT >T >RWN JHWH >L MQWMW >CR HKJN LW,W JQHL DWJD >T KL JFR>L >L JRWCLM,DWJD,>L JRWCLM,prep,det,0,>L,,,
399109,<LH[,MT,1_Chronicles,15,3,H<LWT,W JQHL DWJD >T KL JFR>L >L JRWCLM L H<LWT >T >RWN JHWH >L MQWMW >CR HKJN LW,L H<LWT >T >RWN JHWH >L MQWMW,,>L MQWMW,prep,det,0,>L,,,
399611,BW>[,MT,1_Chronicles,16,1,JBJ>W,W JBJ>W >T >RWN H >LHJM W JYJGW >TW B TWK H >HL >CR NVH LW DWJD W JQRJBW <LWT W CLMJM L PNJ H >LHJM,W JBJ>W >T >RWN H >LHJM,,no complement,,,,,,,
399628,QRB[,MT,1_Chronicles,16,1,JQRJBW,W JBJ>W >T >RWN H >LHJM W JYJGW >TW B TWK H >HL >CR NVH LW DWJD W JQRJBW <LWT W CLMJM L PNJ H >LHJM,W JQRJBW <LWT W CLMJM L PNJ H >LHJM,,L PNJ H >LHJM,prep,det,0,L,,,
399640,<LH[,MT,1_Chronicles,16,2,H<LWT,W JKL DWJD M H<LWT H <LH W H CLMJM W JBRK >T H <M B CM JHWH,M H<LWT H <LH W H CLMJM,,no complement,,,,,,,
399865,HLK[,MT,1_Chronicles,16,20,JTHLKW,W JTHLKW M GWJ >L GWJ W M MMLKH >L <M >XR,W JTHLKW M GWJ >L GWJ,,M GWJ,prep,det,0,M,,,
399865,HLK[,MT,1_Chronicles,16,20,JTHLKW,W JTHLKW M GWJ >L GWJ W M MMLKH >L <M >XR,W JTHLKW M GWJ >L GWJ,,>L GWJ,prep,det,0,>L,,,
399877,NWX[,MT,1_Chronicles,16,21,HNJX,L> HNJX L >JC L <CQM W JWKX <LJHM MLKJM,L> HNJX L >JC,,L >JC,prep,det,0,L,,,
399969,BW>[,MT,1_Chronicles,16,29,B>W,HBW L JHWH KBWD CMW F>W MNXH W B>W L PNJW HCTXWW L JHWH B HDRT QDC,W B>W L PNJW,,L PNJW,prep,det,0,L,,,
400026,BW>[,MT,1_Chronicles,16,33,B>,>Z JRNNW <YJ H J<R M L PNJ JHWH KJ B> L CPWV >T H >RY,KJ B>,,no complement,,,,,,,
400143,<LH[,MT,1_Chronicles,16,40,H<LWT,L H<LWT <LWT L JHWH <L MZBX H <LH TMJD L BQR W L <RB W L KL H KTWB B TWRT JHWH >CR YWH <L JFR>L,L H<LWT <LWT L JHWH <L MZBX H <LH TMJD L BQR W L <RB,,L JHWH,prep,det,0,L,,,
400143,<LH[,MT,1_Chronicles,16,40,H<LWT,L H<LWT <LWT L JHWH <L MZBX H <LH TMJD L BQR W L <RB W L KL H KTWB B TWRT JHWH >CR YWH <L JFR>L,L H<LWT <LWT L JHWH <L MZBX H <LH TMJD L BQR W L <RB,,<L MZBX H <LH,prep,det,0,<L,,,
400214,HLK[,MT,1_Chronicles,16,43,JLKW,W JLKW KL H <M >JC L BJTW W JSB DWJD L BRK >T BJTW,W JLKW KL H <M,KL H <M,no complement,,,,,,,
400465,HLK[,MT,1_Chronicles,17,11,LKT,W HJH KJ ML>W JMJK L LKT <M >BTJK W HQJMWTJ >T ZR<K >XRJK >CR JHJH M BNJK W HKJNWTJ >T MLKWTW,L LKT <M >BTJK,,<M >BTJK,prep,det,0,<M,,,
400505,SWR[,MT,1_Chronicles,17,13,>SJR,>NJ >HJH LW L >B W HW> JHJH LJ L BN W XSDJ L> >SJR M <MW K >CR HSJRWTJ M >CR HJH L PNJK,W XSDJ L> >SJR M <MW,,M <MW,prep + prep,det,0,M,<MW,,
400510,SWR[,MT,1_Chronicles,17,13,HSJRWTJ,>NJ >HJH LW L >B W HW> JHJH LJ L BN W XSDJ L> >SJR M <MW K >CR HSJRWTJ M >CR HJH L PNJK,K >CR HSJRWTJ,,no complement,,,,,,,
400551,BW>[,MT,1_Chronicles,17,16,JB>,W JB> H MLK DWJD W JCB L PNJ JHWH W J>MR MJ >NJ JHWH >LHJM W MJ BJTJ KJ HBJ>TNJ <D HLM,W JB> H MLK DWJD,H MLK DWJD,no complement,,,,,,,
400570,BW>[,MT,1_Chronicles,17,16,HBJ>TNJ,W JB> H MLK DWJD W JCB L PNJ JHWH W J>MR MJ >NJ JHWH >LHJM W MJ BJTJ KJ HBJ>TNJ <D HLM,KJ HBJ>TNJ <D HLM,,<D HLM,prep,det,0,<D,,,
